,index_code,con_code,trade_date,weight
0,000001.SH,600000.SH,20181031,1.158
1,000001.SH,600004.SH,20181031,0.073
2,000001.SH,600006.SH,20181031,0.025
3,000001.SH,600007.SH,20181031,0.052
4,000001.SH,600008.SH,20181031,0.056
5,000001.SH,600009.SH,20181031,0.343
6,000001.SH,600010.SH,20181031,0.265
7,000001.SH,600011.SH,20181031,0.244
8,000001.SH,600012.SH,20181031,0.022
9,000001.SH,600015.SH,20181031,0.369
10,000001.SH,600016.SH,20181031,0.814
11,000001.SH,600017.SH,20181031,0.031
12,000001.SH,600018.SH,20181031,0.45
13,000001.SH,600019.SH,20181031,0.612
14,000001.SH,600020.SH,20181031,0.027
15,000001.SH,600021.SH,20181031,0.064
16,000001.SH,600022.SH,20181031,0.067
17,000001.SH,600023.SH,20181031,0.231
18,000001.SH,600025.SH,20181031,0.194
19,000001.SH,600026.SH,20181031,0.051
20,000001.SH,600027.SH,20181031,0.122
21,000001.SH,600028.SH,20181031,2.167
22,000001.SH,600029.SH,20181031,0.188
23,000001.SH,600030.SH,20181031,0.607
24,000001.SH,600031.SH,20181031,0.218
25,000001.SH,600033.SH,20181031,0.028
26,000001.SH,600035.SH,20181031,0.018
27,000001.SH,600036.SH,20181031,2.143
28,000001.SH,600037.SH,20181031,0.044
29,000001.SH,600038.SH,20181031,0.077
30,000001.SH,600039.SH,20181031,0.045
31,000001.SH,600048.SH,20181031,0.537
32,000001.SH,600050.SH,20181031,0.604
33,000001.SH,600051.SH,20181031,0.006
34,000001.SH,600052.SH,20181031,0.009
35,000001.SH,600053.SH,20181031,0.022
36,000001.SH,600054.SH,20181031,0.017
37,000001.SH,600055.SH,20181031,0.014
38,000001.SH,600056.SH,20181031,0.055
39,000001.SH,600057.SH,20181031,0.035
40,000001.SH,600058.SH,20181031,0.026
41,000001.SH,600059.SH,20181031,0.019
42,000001.SH,600060.SH,20181031,0.04
43,000001.SH,600061.SH,20181031,0.137
44,000001.SH,600062.SH,20181031,0.057
45,000001.SH,600063.SH,20181031,0.017
46,000001.SH,600064.SH,20181031,0.029
47,000001.SH,600066.SH,20181031,0.085
48,000001.SH,600067.SH,20181031,0.02
49,000001.SH,600068.SH,20181031,0.106
50,000001.SH,600069.SH,20181031,0.017
51,000001.SH,600070.SH,20181031,0.011
52,000001.SH,600071.SH,20181031,0.006
53,000001.SH,600072.SH,20181031,0.019
54,000001.SH,600073.SH,20181031,0.02
55,000001.SH,600074.SH,20181031,0.011
56,000001.SH,600075.SH,20181031,0.016
57,000001.SH,600076.SH,20181031,0.015
58,000001.SH,600077.SH,20181031,0.012
59,000001.SH,600078.SH,20181031,0.008
60,000001.SH,600079.SH,20181031,0.056
61,000001.SH,600080.SH,20181031,0.013
62,000001.SH,600081.SH,20181031,0.009
63,000001.SH,600082.SH,20181031,0.009
64,000001.SH,600083.SH,20181031,0.013
65,000001.SH,600084.SH,20181031,0.012
66,000001.SH,600085.SH,20181031,0.14
67,000001.SH,600086.SH,20181031,0.049
68,000001.SH,600088.SH,20181031,0.011
69,000001.SH,600089.SH,20181031,0.093
70,000001.SH,600090.SH,20181031,0.028
71,000001.SH,600091.SH,20181031,0.006
72,000001.SH,600093.SH,20181031,0.032
73,000001.SH,600094.SH,20181031,0.031
74,000001.SH,600095.SH,20181031,0.005
75,000001.SH,600096.SH,20181031,0.023
76,000001.SH,600097.SH,20181031,0.008
77,000001.SH,600098.SH,20181031,0.052
78,000001.SH,600099.SH,20181031,0.005
79,000001.SH,600100.SH,20181031,0.093
80,000001.SH,600101.SH,20181031,0.008
81,000001.SH,600103.SH,20181031,0.017
82,000001.SH,600104.SH,20181031,1.138
83,000001.SH,600105.SH,20181031,0.014
84,000001.SH,600106.SH,20181031,0.012
85,000001.SH,600107.SH,20181031,0.006
86,000001.SH,600108.SH,20181031,0.019
87,000001.SH,600109.SH,20181031,0.078
88,000001.SH,600110.SH,20181031,0.016
89,000001.SH,600111.SH,20181031,0.137
90,000001.SH,600112.SH,20181031,0.007
91,000001.SH,600113.SH,20181031,0.008
92,000001.SH,600114.SH,20181031,0.015
