,index_code,con_code,trade_date,weight
0,399300.SZ,603993.SH,20170929,0.191
1,399300.SZ,603858.SH,20170929,0.047
2,399300.SZ,603160.SH,20170929,0.043
3,399300.SZ,601998.SH,20170929,0.177
4,399300.SZ,601997.SH,20170929,0.093
5,399300.SZ,601992.SH,20170929,0.194
6,399300.SZ,601989.SH,20170929,0.544
7,399300.SZ,601988.SH,20170929,0.797
8,399300.SZ,601985.SH,20170929,0.32
9,399300.SZ,601966.SH,20170929,0.044
10,399300.SZ,601958.SH,20170929,0.076
11,399300.SZ,601939.SH,20170929,0.43
12,399300.SZ,601933.SH,20170929,0.281
13,399300.SZ,601919.SH,20170929,0.242
14,399300.SZ,601901.SH,20170929,0.325
15,399300.SZ,601899.SH,20170929,0.369
16,399300.SZ,601888.SH,20170929,0.309
17,399300.SZ,601881.SH,20170929,0.093
18,399300.SZ,601877.SH,20170929,0.084
19,399300.SZ,601872.SH,20170929,0.096
20,399300.SZ,601866.SH,20170929,0.111
21,399300.SZ,601857.SH,20170929,0.356
22,399300.SZ,601818.SH,20170929,0.592
23,399300.SZ,601800.SH,20170929,0.215
24,399300.SZ,601788.SH,20170929,0.279
25,399300.SZ,601766.SH,20170929,0.869
26,399300.SZ,601727.SH,20170929,0.231
27,399300.SZ,601718.SH,20170929,0.101
28,399300.SZ,601688.SH,20170929,0.678
29,399300.SZ,601669.SH,20170929,0.338
30,399300.SZ,601668.SH,20170929,1.278
31,399300.SZ,601633.SH,20170929,0.136
32,399300.SZ,601628.SH,20170929,0.424
33,399300.SZ,601618.SH,20170929,0.252
34,399300.SZ,601611.SH,20170929,0.057
35,399300.SZ,601608.SH,20170929,0.082
36,399300.SZ,601607.SH,20170929,0.252
37,399300.SZ,601601.SH,20170929,1.066
38,399300.SZ,601600.SH,20170929,0.489
39,399300.SZ,601555.SH,20170929,0.269
40,399300.SZ,601398.SH,20170929,1.188
41,399300.SZ,600498.SH,20170929,0.167
42,399300.SZ,600489.SH,20170929,0.17
43,399300.SZ,600485.SH,20170929,0.235
44,399300.SZ,600482.SH,20170929,0.08
45,399300.SZ,600446.SH,20170929,0.091
46,399300.SZ,600436.SH,20170929,0.161
47,399300.SZ,600415.SH,20170929,0.176
48,399300.SZ,600406.SH,20170929,0.221
49,399300.SZ,600383.SH,20170929,0.238
50,399300.SZ,600376.SH,20170929,0.105
51,399300.SZ,600373.SH,20170929,0.112
52,399300.SZ,600372.SH,20170929,0.079
53,399300.SZ,600369.SH,20170929,0.151
54,399300.SZ,600362.SH,20170929,0.176
55,399300.SZ,600352.SH,20170929,0.215
56,399300.SZ,600340.SH,20170929,0.337
57,399300.SZ,600332.SH,20170929,0.144
58,399300.SZ,600309.SH,20170929,0.529
59,399300.SZ,600297.SH,20170929,0.166
60,399300.SZ,600276.SH,20170929,0.93
61,399300.SZ,600271.SH,20170929,0.193
62,399300.SZ,600256.SH,20170929,0.121
63,399300.SZ,600233.SH,20170929,0.069
64,399300.SZ,600221.SH,20170929,0.196
65,399300.SZ,600208.SH,20170929,0.169
66,399300.SZ,600196.SH,20170929,0.316
67,399300.SZ,600188.SH,20170929,0.046
68,399300.SZ,600177.SH,20170929,0.193
69,399300.SZ,600170.SH,20170929,0.157
70,399300.SZ,600157.SH,20170929,0.164
71,399300.SZ,600153.SH,20170929,0.152
72,399300.SZ,600150.SH,20170929,0.156
73,399300.SZ,600118.SH,20170929,0.153
74,399300.SZ,600115.SH,20170929,0.183
75,399300.SZ,600111.SH,20170929,0.323
76,399300.SZ,600109.SH,20170929,0.228
77,399300.SZ,600104.SH,20170929,0.972
78,399300.SZ,600100.SH,20170929,0.199
79,399300.SZ,600089.SH,20170929,0.339
80,399300.SZ,600085.SH,20170929,0.163
81,399300.SZ,600074.SH,20170929,0.093
82,399300.SZ,600068.SH,20170929,0.263
83,399300.SZ,600066.SH,20170929,0.3
84,399300.SZ,600061.SH,20170929,0.166
85,399300.SZ,600060.SH,20170929,0.113
86,399300.SZ,600050.SH,20170929,0.578
87,399300.SZ,600048.SH,20170929,0.679
88,399300.SZ,600038.SH,20170929,0.095
89,399300.SZ,600037.SH,20170929,0.094
90,399300.SZ,600036.SH,20170929,2.42
91,399300.SZ,600031.SH,20170929,0.269
92,399300.SZ,600030.SH,20170929,1.315
93,399300.SZ,600029.SH,20170929,0.267
94,399300.SZ,600028.SH,20170929,0.569
95,399300.SZ,600023.SH,20170929,0.2
96,399300.SZ,600021.SH,20170929,0.088
97,399300.SZ,600019.SH,20170929,0.6
98,399300.SZ,600018.SH,20170929,0.199
99,399300.SZ,600016.SH,20170929,1.741
100,399300.SZ,600015.SH,20170929,0.546
101,399300.SZ,600010.SH,20170929,0.339
102,399300.SZ,600009.SH,20170929,0.336
103,399300.SZ,600008.SH,20170929,0.142
104,399300.SZ,600000.SH,20170929,1.329
105,399300.SZ,300315.SZ,20170929,0.133
106,399300.SZ,300251.SZ,20170929,0.088
107,399300.SZ,300168.SZ,20170929,0.091
108,399300.SZ,300144.SZ,20170929,0.125
109,399300.SZ,300133.SZ,20170929,0.07
110,399300.SZ,300124.SZ,20170929,0.265
111,399300.SZ,300104.SZ,20170929,0.337
112,399300.SZ,300072.SZ,20170929,0.251
113,399300.SZ,300070.SZ,20170929,0.311
114,399300.SZ,300059.SZ,20170929,0.327
115,399300.SZ,300033.SZ,20170929,0.123
116,399300.SZ,300027.SZ,20170929,0.139
117,399300.SZ,300024.SZ,20170929,0.214
118,399300.SZ,300017.SZ,20170929,0.16
119,399300.SZ,002841.SZ,20170929,0.031
120,399300.SZ,002839.SZ,20170929,0.025
121,399300.SZ,002831.SZ,20170929,0.026
122,399300.SZ,002797.SZ,20170929,0.045
123,399300.SZ,002739.SZ,20170929,0.224
124,399300.SZ,002736.SZ,20170929,0.309
125,399300.SZ,002714.SZ,20170929,0.118
126,399300.SZ,002673.SZ,20170929,0.251
127,399300.SZ,002602.SZ,20170929,0.088
128,399300.SZ,002594.SZ,20170929,0.341
129,399300.SZ,002558.SZ,20170929,0.093
130,399300.SZ,002555.SZ,20170929,0.085
131,399300.SZ,002508.SZ,20170929,0.184
132,399300.SZ,002500.SZ,20170929,0.176
133,399300.SZ,002475.SZ,20170929,0.241
134,399300.SZ,002470.SZ,20170929,0.116
135,399300.SZ,002466.SZ,20170929,0.385
136,399300.SZ,002465.SZ,20170929,0.172
137,399300.SZ,002456.SZ,20170929,0.37
138,399300.SZ,002450.SZ,20170929,0.481
139,399300.SZ,002426.SZ,20170929,0.144
140,399300.SZ,002424.SZ,20170929,0.068
141,399300.SZ,002415.SZ,20170929,1.085
142,399300.SZ,002411.SZ,20170929,0.114
143,399300.SZ,002385.SZ,20170929,0.116
144,399300.SZ,002352.SZ,20170929,0.111
145,399300.SZ,002310.SZ,20170929,0.207
146,399300.SZ,002304.SZ,20170929,0.562
147,399300.SZ,002299.SZ,20170929,0.063
148,399300.SZ,002292.SZ,20170929,0.071
